score,pvalue	head_node	all_nodes
0.946666666667,0.0	2353	2355	1054	22992	5434	5705	5566	11016	1649	2048	6195	9586	4773	468	3725	2353	1386	3727	3726	9935	5594
0.946666666667,0.0	8740	3613	57562	4720	8527	56893	2885	3104	4049	1107	356	7431	10589	8655	8771	2	8740	5267	4055	81533	84942	8764	8720	7186	7187
0.933333333333,0.0	83461	10010	58190	6500	10106	7186	83461
0.933333333333,0.0	26088	6272	26088	9135	26994	4088	3482	11276	375	377
0.933333333333,0.0	1796	25	4067	1796	5979	5921	2064	7006
0.933333333333,0.0	22913	5093	22913	5293	284403	6687
0.933333333333,0.0	1161	27089	1460	1642	1161	873
0.933333333333,0.0	9551	23028	2203	78987	4700	9128	55207	4026	5819	9001	9551	339230	7542	826	6176
0.933333333333,0.0	6581	25	6581	4690
0.933333333333,0.0	4656	3397	9464	3399	130502	6886	4654	4656	2033	6929	29781	3398	6925	1499	9421	1387	6938	4617
0.92,0.0	4739	2617	4690	63948	4086	25	4088	4665	4739	5987	7205	54971	9564	5290	1399	5747	1398	7024
0.92,0.0	55030	4089	7046	55030	6500
0.92,0.0	10499	10062	7421	7068	5468	10498	6257	2033	10499	5914	367	1387	2099	6256
0.92,0.0	3727	10538	467	11016	8061	3131	9586	3725	7975	2353	1386	3727	55509	4221	2354	2355
0.92,0.0	353376	64343	6850	7189	59307	7099	7098	353376	148022	7186	8737	29110	114609	4615	7185	23643	7187
0.92,0.0	4217	4217	1387	7295	1616	7533	2033	7186	153090	7534	1756	2944	5608	409	9064
0.92,0.0	5310	25	9734	55729	5311	5310	1499	2534
0.92,0.0	1270	3716	90861	10513	4690	83755	2885	3570	5359	3572	1270	5781	3977	3976	133396	25	23529	1271	5008	9021	3569	3590	1398	2534
0.92,0.0	9883	55165	2100	9513	11030	2992	10087	7205	2670	6310	1365	9883	4792	324	10551	373	2801	56159	9404	163
0.92,0.0	4141	7138	9647	4141	11100	6232
0.92,0.0	11276	65264	342371	4088	23037	51324	8906	9685	1213	1174	9135	54464	3482	57473	11276	164	162	6272	26088	26994	4130	5300	23062	373	375	377
0.92,0.0	3590	3590	133396	1270	3589	3569	3570	3572	3716	5781	4110	3976	5008	9021
0.92,0.0	27089	145781	81488	1161	27089
0.92,0.0	9647	84140	11100	4141	7138	9647	6232
0.92,0.0	79890	4690	79890	2885	5997	5335	25	1398	10567	5878	6714	2534
0.906666666667,0.0	84078	54935	57562	580	65265	84078	11345	55791	642	9001	79686	81631	1912
0.906666666667,0.0	1399	6777	339287	25	11184	5829	2549	2889	5359	9564	1399	3911	613	7041	1953	2064	6776	4739	59338	867	2896	4853	2065
0.906666666667,0.0	5311	25	9734	1729	5311	5310	55729	387	1499	2534	55660
0.906666666667,0.0	3976	3716	133396	1270	1271	5008	3570	3572	3590	5781	3977	3976	9021	3569
0.906666666667,0.0	2048	2048	5921	9463	5747	2353	6714
0.906666666667,0.0	1284	1284	7083	55729	310	6498	55603	9802	1282	6606	1460
0.906666666667,0.0	23650	30851	2960	2623	79571	80705	84445	23650	6474	2801	5433	85302	5434	9832	7329	4007	80022	4093	8517	142	9443	8379	6617	3059	6672	84766	4292	54620	9513	1761	80321
0.906666666667,0.0	22992	4088	2353	57473	22992	4092
0.906666666667,0.0	7068	9612	10499	9611	23054	8204	7068	8202	6256	6258	816	8648	9318	8668	6257	5705	9324	9325
0.906666666667,0.0	4288	25	7083	23468	4288	11335	6606	84365	6714	2100	2534
0.906666666667,0.0	344148	25	2885	7410	4690	324	344148	2534
0.906666666667,0.0	3572	3716	133396	1270	3569	3570	3572	3590	5781	5008	3976	9021
0.906666666667,0.0	675	25	5888	2885	7157	675	79728	672	7979	2189	1017	2534	10362
0.906666666667,0.0	5725	9444	6421	5093	5725	3191	6626	10241	54039
0.906666666667,0.0	4036	25	9479	213	1600	1822	8029	4036	23542	10755	1742
0.906666666667,0.0	3726	22981	5599	4097	4088	4089	467	8061	10538	9586	2353	7975	1432	1386	55509	3726	11016	2354	2355
0.906666666667,0.0	2355	1054	11016	1649	7008	9586	2353	3725	1386	3727	3726	9935	2355
0.906666666667,0.0	182	2617	4086	654780	4242	5663	8328	22938	4690	2547	55294	3516	182	1399	8650	1460	7554	773	25	54567	3955	6868	28514	4790	9794	4854	4853	4851
0.906666666667,0.0	9444	3190	57060	10432	11030	10169	54715	9444	5094	11067	10083	5093	58155	5725	55145	3059	23543	9491	51444	8939	25764
0.906666666667,0.0	8202	10062	2100	1432	1147	3551	7068	10498	8202	7376	5914	1387	2033	7421	5468	367	2101	5916	2099	8850
0.906666666667,0.0	6929	3397	9464	3399	3398	6886	4654	4656	2033	1499	6925	6929	9421	1387	6938	4617
0.906666666667,0.0	727	4690	2885	717	716	5648	25	10724	729	2534	727
0.906666666667,0.0	5094	5093	5094	9444	3191	55660
0.906666666667,0.0	3570	7704	3716	133396	1270	3569	6456	3570	3572	3590	5781	5008	3976	9021
