EntrezID	GeneName	M1value	EntrezID\GeneName	M2value
2885	GRB2	533	25	ABL1	58.4776127475
7157	TP53	341	2885	GRB2	27.7075899663
25	ABL1	299	2534	FYN	26.0391557412
6714	SRC	292	1460	CSNK2B	24.364119116
7431	VIM	287	4690	NCK1	17.6207830063
2534	FYN	281	7186	TRAF2	15.0728834193
4690	NCK1	272	7046	TGFBR1	12.3173452773
56893	UBQLN4	270	4188	MDFI	12.1827890482
55791	LRIF1	267	1956	EGFR	11.9206150296
7083	TK1	264	6310	ATXN1	11.516393225
1026	CDKN1A	263	4086	SMAD1	11.2981995946
6310	ATXN1	262	11007	CCDC85B	11.1994000149
7329	UBE2I	262	56893	UBQLN4	10.8759341758
1915	EEF1A1	258	5578	PRKCA	10.5746443393
5597	MAPK6	251	1107	CHD3	10.0458217088
2932	GSK3B	250	1398	CRK	9.84257104832
7917	BAG6	246	9513	FXR2	9.69828426242
55183	RIF1	243	5295	PIK3R1	9.68023497726
1107	CHD3	242	2033	EP300	9.5253024683
57562	KIAA1377	238	5597	MAPK6	9.45249105401
5295	PIK3R1	235	2100	ESR2	9.43723948266
1956	EGFR	233	55284	UBE2W	9.40265156222
7186	TRAF2	232	1822	ATN1	9.34313184934
6606	SMN1	224	7329	UBE2I	8.95100469944
310	ANXA7	222	9319	TRIP13	8.92613261395
9094	UNC119	222	2130	EWSR1	8.88552763924
11007	CCDC85B	220	27185	DISC1	8.74992115492
1398	CRK	217	5335	PLCG1	8.74487567728
5764	PTN	213	4093	SMAD9	8.63337531061
4087	SMAD2	206	51619	UBE2D4	8.6015560656
4089	SMAD4	206	7431	VIM	8.58996477597
4188	MDFI	206	5359	PLSCR1	8.57706676332
7704	ZBTB16	206	2547	XRCC6	8.38945843537
2130	EWSR1	202	7917	BAG6	8.24477171185
10989	IMMT	197	773	CACNA1A	8.24008958664
7046	TGFBR1	193	6606	SMN1	8.19745200857
11161	C14orf1	192	7083	TK1	7.95670210107
324	APC	192	867	CBL	7.84542164938
4088	SMAD3	187	57562	KIAA1377	7.81344801811
7321	UBE2D1	187	5970	RELA	7.74796516039
3064	HTT	185	7323	UBE2D3	7.62324876394
5300	PIN1	183	5594	MAPK1	7.53869269466
1822	ATN1	181	6500	SKP1	7.38679411877
4086	SMAD1	179	6498	SKIL	7.34074004837
10980	COPS6	178	10488	CREB3	7.19422337565
1400	CRMP1	178	6714	SRC	7.17980957594
1460	CSNK2B	178	84708	LNX1	7.16231614206
4093	SMAD9	178	7157	TP53	7.15902084251
1937	EEF1G	175	2932	GSK3B	6.99121191437
6464	SHC1	171	2064	ERBB2	6.97452685282
2033	EP300	170	148581	UBE2U	6.95418322503
333	APLP1	166	1432	MAPK14	6.69727718412
51631	LUC7L2	165	3064	HTT	6.59159665353
7534	YWHAZ	164	23421	ITGB3BP	6.55201856663
2064	ERBB2	163	2617	GARS	6.45468449067
2100	ESR2	161	342371	ATXN1L	6.42695184915
84708	LNX1	161	4087	SMAD2	6.31688040903
51003	MED31	159	4089	SMAD4	6.27871552059
6498	SKIL	158	2099	ESR1	6.19600522794
7088	TLE1	157	9001	HAP1	6.17753450776
10010	TANK	155	998	CDC42	6.09517571478
2	A2M	155	5566	PRKACA	6.0728235931
9001	HAP1	155	1499	CTNNB1	6.06569447954
27185	DISC1	153	7322	UBE2D2	5.98433814921
5359	PLSCR1	152	57154	SMURF1	5.92402400828
2547	XRCC6	150	367	AR	5.92175761512
6303	SAT1	148	1026	CDKN1A	5.85571853792
26994	RNF11	147	60	ACTB	5.85122725137
6256	RXRA	147	324	APC	5.79849086529
5335	PLCG1	146	1937	EEF1G	5.79591194886
5717	PSMD11	145	7189	TRAF6	5.75413734697
6453	ITSN1	144	64750	SMURF2	5.59745548617
84060	RBM48	144	8328	GFI1B	5.59016800776
10524	KAT5	142	65125	WNK1	5.54515247231
2099	ESR1	142	351	APP	5.5410111972
9513	FXR2	142	7704	ZBTB16	5.54016329766
10912	GADD45G	140	7534	YWHAZ	5.53924109179
28964	GIT1	140	7187	TRAF3	5.43608319777
51588	PIAS4	139	7316	UBC	5.36235773832
672	BRCA1	138	1857	DVL3	5.35059073259
7138	TNNT1	138	7321	UBE2D1	5.32887006746
81539	SLC38A1	138	2353	FOS	5.31108375445
367	AR	137	10980	COPS6	5.10429036124
1647	GADD45A	136	55183	RIF1	5.09110398192
207	AKT1	136	310	ANXA7	5.07747512207
7322	UBE2D2	136	5997	RGS2	5.0692952696
1387	CREBBP	135	1915	EEF1A1	4.99753303671
7323	UBE2D3	134	5879	RAC1	4.99238905496
10425	ARIH2	133	2066	ERBB4	4.9481110151
8328	GFI1B	133	5093	PCBP1	4.930246487
2597	GAPDH	132	4088	SMAD3	4.86174123519
6176	RPLP1	132	11030	RBPMS	4.75161512665
1019	CDK4	130	55729	ATF7IP	4.71715552641
2146	EZH2	130	23043	TNIK	4.66147653961
5050	PAFAH1B3	130	6829	SUPT5H	4.64663993419
7316	UBC	130	7410	VAV2	4.64549358563
10987	COPS5	129	10241	CALCOCO2	4.5542646945
1856	DVL2	129	57473	ZNF512B	4.54875050133
773	CACNA1A	129	90	ACVR1	4.50159366502
11244	ZHX1	127	9869	SETDB1	4.49629818512
1499	CTNNB1	127	55791	LRIF1	4.49423314239
7276	TTR	127	1400	CRMP1	4.48115546106
6667	SP1	126	8440	NCK2	4.47601733485
11030	RBPMS	125	26994	RNF11	4.47559196758
51619	UBE2D4	125	9094	UNC119	4.46293115675
5594	MAPK1	125	7138	TNNT1	4.4340475094
60491	NIF3L1	125	4171	MCM2	4.43356473926
7572	ZNF24	124	10114	HIPK3	4.42183845513
80125	CCDC33	123	10254	STAM2	4.36901936664
5747	PTK2	121	55660	PRPF40A	4.33062479166
83755	KRTAP4-12	121	10403	NDC80	4.28075503443
1432	MAPK14	120	4110	MAGEA11	4.25423125626
2661	GDF9	119	375	ARF1	4.23431236559
6118	RPA2	119	207	AKT1	4.22876121556
11051	NUDT21	118	1459	CSNK2A2	4.22586653082
5201	PFDN1	117	5764	PTN	4.21841606523
55660	PRPF40A	117	6314	ATXN7	4.20898694634
60	ACTB	117	10454	TAB1	4.20423590412
30008	EFEMP2	116	80321	CEP70	4.18910195508
55643	BTBD2	116	2475	MTOR	4.18051740256
8848	TSC22D1	116	10477	UBE2E3	4.16513370492
10253	SPRY2	115	672	BRCA1	4.13592833783
29903	CCDC106	115	7088	TLE1	4.1240415771
5859	QARS	115	4090	SMAD5	4.11944341081
8161	COIL	115	8517	IKBKG	4.09419009714
10477	UBE2E3	114	7334	UBE2N	4.04539284593
9146	HGS	114	658	BMPR1B	4.0211908508
5111	PCNA	113	7916	PRRC2A	4.00533313715
55729	ATF7IP	113	23636	NUP62	3.9596579108
80321	CEP70	113	60491	NIF3L1	3.95935809926
10488	CREB3	112	10010	TANK	3.93522794745
5272	SERPINB9	112	1399	CRKL	3.91979181461
2065	ERBB3	111	83755	KRTAP4-12	3.8771655534
23421	ITGB3BP	109	5111	PCNA	3.80213032787
7114	TMSB4X	109	23542	MAPK8IP2	3.79690160001
7376	NR1H2	109	1386	ATF2	3.77198311436
51726	DNAJB11	108	1054	CEBPG	3.76512317714
57154	SMURF1	108	2801	GOLGA2	3.76221964007
7251	TSG101	108	2	A2M	3.73946974583
284058	KANSL1	107	11143	KAT7	3.68475836692
351	APP	107	8216	LZTR1	3.66748262173
3692	EIF6	107	5795	PTPRJ	3.66381130098
10813	UTP14A	106	11161	C14orf1	3.66151366191
8204	NRIP1	105	4478	MSN	3.65180035516
8764	TNFRSF14	105	7454	WAS	3.63292428178
1457	CSNK2A1	104	222484	LNX2	3.62823436757
3163	HMOX2	104	10425	ARIH2	3.60451837888
3910	LAMA4	104	79666	PLEKHF2	3.58507090577
598	BCL2L1	104	7494	XBP1	3.55698329226
867	CBL	104	6464	SHC1	3.51573121157
11143	KAT7	103	7531	YWHAE	3.49956548491
23542	MAPK8IP2	103	8907	AP1M1	3.48879155474
572	BAD	103	5777	PTPN6	3.4838457242
57473	ZNF512B	103	5800	PTPRO	3.48061793777
580	BARD1	103	1284	COL4A2	3.46767501636
6711	SPTBN1	103	5987	TRIM27	3.46712350164
7755	ZNF205	103	1230	CCR1	3.46447794003
25843	MOB4	102	7421	VDR	3.45387971427
5775	PTPN4	102	23028	KDM1A	3.44449097125
7249	TSC2	102	373	TRIM23	3.43337272945
1104	RCC1	101	81631	MAP1LC3B	3.41473950648
3725	JUN	101	826	CAPNS1	3.41279647611
5170	PDPK1	101	5886	RAD23A	3.38972350287
7189	TRAF6	101	988	CDC5L	3.38271355674
7311	UBA52	101	2065	ERBB3	3.37536182059
2908	NR3C1	100	25843	MOB4	3.36777893753
5347	PLK1	100	1385	CREB1	3.36719748564
57326	PBXIP1	100	23650	TRIM29	3.34297230961
5987	TRIM27	100	54978	SLC35F6	3.32554335144
6314	ATXN7	100	23152	CIC	3.3238269107
11140	CDC37	99	23677	SH3BP4	3.32163479086
23564	DDAH2	99	1387	CREBBP	3.27356099483
5886	RAD23A	99	6721	SREBF2	3.24740485606
64750	SMURF2	99	7337	UBE3A	3.24191535713
79873	NUDT18	99	8161	COIL	3.22398407309
658	BMPR1B	98	5088	PBX2P1	3.21918804626
8517	IKBKG	98	7965	AIMP2	3.18748075633
1385	CREB1	97	6709	SPTAN1	3.17465095963
7846	TUBA1A	97	51678	MPP6	3.17288658193
10200	MPHOSPH6	96	23641	LDOC1	3.1558824668
10241	CALCOCO2	96	23450	SF3B3	3.1278858195
5058	PAK1	96	3725	JUN	3.1155344618
55388	MCM10	96	25865	PRKD2	3.10251695806
5796	PTPRK	96	54477	PLEKHA5	3.07024249859
10301	DLEU1	95	11140	CDC37	3.06548455734
148581	UBE2U	95	9612	NCOR2	3.06404896353
3866	KRT15	95	84164	ASCC2	3.04759594713
6117	RPA1	95	10755	GIPC1	3.04395380211
10048	RANBP9	94	6457	SH3GL3	3.03636659678
1785	DNM2	94	5170	PDPK1	3.03428042916
23641	LDOC1	93	10040	TOM1L1	3.02943500786
4110	MAGEA11	93	4067	LYN	2.97155723113
5894	RAF1	93	11165	NUDT3	2.94050418664
10454	TAB1	92	1457	CSNK2A1	2.940202772
11124	FAF1	92	10989	IMMT	2.9290921735
23037	PDZD2	92	22981	NINL	2.91103282829
5682	PSMA1	92	5705	PSMC5	2.89799816732
5997	RGS2	92	1051	CEBPB	2.89632028633
60492	CCDC90B	92	84060	RBM48	2.89387064052
6774	STAT3	92	56658	TRIM39	2.89271885243
84528	RHOXF2	92	10912	GADD45G	2.87992843498
10540	DCTN2	91	5682	PSMA1	2.85443419803
1114	CHGB	91	55052	MRPL20	2.85131185594
5777	PTPN6	91	27089	UQCRQ	2.84023593726
1780	DYNC1I1	90	84528	RHOXF2	2.83938330968
3507	IGHM	90	10987	COPS5	2.83091284681
7531	YWHAE	90	5201	PFDN1	2.82995542727
79666	PLEKHF2	90	6774	STAT3	2.80597193832
10399	GNB2L1	89	7277	TUBA4A	2.80172319192
